SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,effort,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.029295211,93,0,"(-0.001, 0.000309]",3500.0,7,0,0,0,0.0
0,0.302653947,71,0,"(0.00367, 0.00468]",8500.0,14,0,1,0,0.0
0,0.9999999,52,1,"(0.000309, 0.00134]",2540.0,1,2,0,0,3.0
1,0.9999999,58,0,"(-0.001, 0.000309]",2140.0,1,0,0,0,0.0
0,0.8263162209999999,50,0,"(0.00214, 0.00287]",13000.0,9,0,2,0,2.0
0,0.202563161,38,0,"(0.00649, 0.04]",3333.0,7,0,2,0,0.0
0,0.137561106,67,0,"(0.00134, 0.00214]",1979.0,4,0,0,0,0.0
0,0.029123896,37,0,"(0.00134, 0.00214]",30342.0,10,0,3,0,2.0
0,0.022531736,53,0,"(0.00367, 0.00468]",3417.0,6,0,1,0,1.0
0,0.037264035,57,1,"(0.00649, 0.04]",4580.0,19,0,3,0,0.0
0,0.109354364,70,0,"(0.000309, 0.00134]",10500.0,7,0,1,0,0.0
0,0.061511974,63,0,"(0.00214, 0.00287]",8000.0,8,0,1,0,1.0
1,0.462268866,33,0,"(0.00287, 0.00367]",5000.0,3,0,1,1,0.0
0,0.9999999,43,0,"(-0.001, 0.000309]",4583.0,7,0,0,0,0.0
0,0.032710756,58,0,"(0.00134, 0.00214]",7600.0,4,0,1,0,1.0
0,0.197476972,35,0,"(0.000309, 0.00134]",8333.0,7,1,2,0,1.0
0,0.083583283,26,0,"(0.00367, 0.00468]",1400.0,6,0,0,0,0.0
0,0.111951157,49,0,"(0.000309, 0.00134]",8937.0,4,0,0,0,3.0
0,0.025317802,93,0,"(-0.001, 0.000309]",3500.0,4,0,0,0,0.0
0,0.056470748,61,0,"(0.00214, 0.00287]",13000.0,19,0,1,0,4.0
0,0.132628089,57,0,"(0.00134, 0.00214]",14500.0,6,0,2,0,1.0
0,0.0,71,0,"(0.00134, 0.00214]",7000.0,13,0,2,0,0.0
0,0.023580407,47,0,"(0.00367, 0.00468]",3333.0,14,0,1,0,0.0
0,0.505690884,61,1,"(0.00367, 0.00468]",7500.0,15,0,0,0,0.0
0,0.069694008,65,0,"(0.00134, 0.00214]",2650.0,9,0,0,0,0.0
0,0.375868539,44,0,"(0.00468, 0.00649]",5756.0,10,0,1,0,2.0
0,0.099939132,60,0,"(0.00367, 0.00468]",4000.0,7,0,1,0,1.0
0,0.9999999,44,0,"(0.04, 12.67]",1.0,5,0,0,1,3.0
0,0.07222817200000001,54,0,"(0.00367, 0.00468]",9833.0,18,0,2,0,0.0
0,0.258986886,67,0,"(0.00468, 0.00649]",3282.0,20,0,2,0,0.0
0,0.296224652,37,0,"(0.00287, 0.00367]",6954.0,9,0,1,0,4.0
0,0.08564535599999999,36,0,"(0.000309, 0.00134]",2916.0,18,0,0,0,1.0
0,0.323985404,42,0,"(0.00287, 0.00367]",10415.0,8,0,2,0,2.0
0,0.02919421,75,0,"(-0.001, 0.000309]",9352.0,8,0,0,0,0.0
0,0.16027751199999998,56,0,"(0.00468, 0.00649]",1325.0,4,0,0,0,1.0
0,0.0,62,0,"(0.00287, 0.00367]",6141.0,6,0,1,0,0.0
0,0.006775024,75,0,"(-0.001, 0.000309]",290.0,8,0,0,0,0.0
0,0.173121352,37,0,"(0.00649, 0.04]",13333.0,14,0,5,0,2.0
0,0.271115259,54,0,"(0.000309, 0.00134]",12300.0,4,0,1,0,2.0
0,0.166012139,46,0,"(-0.001, 0.000309]",3900.0,3,0,0,0,1.0
0,0.059697103,85,0,"(0.00214, 0.00287]",1605.0,5,0,0,0,0.0
0,0.277921202,52,0,"(0.00367, 0.00468]",4440.0,15,0,0,0,1.0
0,0.502294079,50,0,"(0.00367, 0.00468]",9083.0,9,0,1,0,0.0
0,0.491981078,32,0,"(0.00649, 0.04]",7166.0,12,0,2,0,1.0
0,0.442064914,52,1,"(0.00214, 0.00287]",4000.0,8,0,1,0,0.0
0,0.920593113,73,0,"(0.00134, 0.00214]",3057.0,6,0,0,0,0.0
0,0.029751814,81,0,"(0.00287, 0.00367]",140.0,8,0,0,0,0.0
0,0.046892708,60,0,"(0.000309, 0.00134]",12600.0,15,0,0,0,2.0
0,0.080220532,68,0,"(0.00287, 0.00367]",7490.0,8,0,1,0,0.0
0,0.9999999,69,0,"(0.00134, 0.00214]",6641.0,4,0,0,0,0.0
0,0.130554139,62,0,"(0.00214, 0.00287]",4255.0,13,0,0,0,0.0
1,0.0,29,2,"(0.00468, 0.00649]",3750.0,4,1,0,1,0.0
0,0.098467558,63,0,"(0.00468, 0.00649]",3000.0,11,0,1,0,0.0
0,0.041180227,45,0,"(0.00214, 0.00287]",10666.0,9,0,2,0,2.0
0,0.000512807,55,2,"(0.00214, 0.00287]",9100.0,17,0,1,0,1.0
0,0.372140618,34,0,"(0.00468, 0.00649]",5200.0,12,0,1,1,0.0
0,0.608492673,45,0,"(0.00649, 0.04]",2800.0,13,0,1,0,0.0
0,0.487773279,50,0,"(0.00287, 0.00367]",4196.0,16,0,1,0,1.0
0,1.082305898,29,0,"(0.00649, 0.04]",3360.0,11,0,1,0,1.0
0,0.214178352,51,0,"(0.00367, 0.00468]",5300.0,11,0,2,0,1.0
0,0.604510849,33,0,"(0.00214, 0.00287]",11374.0,9,0,1,0,2.0
0,0.5240129570000001,53,0,"(0.00649, 0.04]",2750.0,7,0,1,0,0.0
0,0.016758949,62,0,"(-0.001, 0.000309]",2700.0,7,0,0,0,0.0
0,0.90878957,35,2,"(0.00468, 0.00649]",3427.0,6,5,0,0,0.0
0,0.5074751239999999,65,3,"(0.000309, 0.00134]",9849.0,8,0,0,0,0.0
0,0.096028964,46,0,"(0.00214, 0.00287]",13000.0,9,0,1,0,2.0
0,0.00128297,32,0,"(0.00214, 0.00287]",4850.0,14,0,0,1,0.0
0,0.381933439,60,0,"(0.00214, 0.00287]",5063.0,7,0,0,0,0.0
0,0.072440161,43,0,"(0.000309, 0.00134]",8760.0,5,0,0,0,0.0
0,0.335420273,69,0,"(0.00134, 0.00214]",10500.0,13,0,1,0,0.0
0,0.21777832,27,0,"(0.00468, 0.00649]",2016.0,8,0,1,0,0.0
0,0.640233033,49,1,"(0.00287, 0.00367]",11285.0,12,0,2,0,1.0
0,0.106037584,49,0,"(0.00367, 0.00468]",7291.0,9,0,1,0,2.0
1,0.6497133620000001,34,0,"(0.00367, 0.00468]",7400.0,15,0,1,0,0.0
0,0.086077902,53,0,"(0.00468, 0.00649]",8600.0,29,0,3,0,2.0
0,0.44782388,53,0,"(0.00649, 0.04]",4788.0,8,0,2,0,4.0
1,0.193303281,54,0,"(0.00649, 0.04]",8425.0,8,0,5,0,2.0
0,0.064647233,34,0,"(0.000309, 0.00134]",1950.0,5,0,0,0,0.0
0,0.009502251,67,0,"(0.000309, 0.00134]",5166.0,3,0,0,0,0.0
1,0.244962211,51,0,"(0.00649, 0.04]",2300.0,18,0,1,0,0.0
0,0.008394663,37,0,"(0.00214, 0.00287]",7850.0,15,0,2,0,1.0
0,0.05942849,31,0,"(0.00367, 0.00468]",3250.0,9,0,1,0,1.0
0,0.329467413,60,0,"(0.00367, 0.00468]",7600.0,16,0,2,0,1.0
0,0.124024208,41,0,"(0.00214, 0.00287]",7250.0,8,0,0,0,2.0
0,0.06548085299999999,35,0,"(0.00468, 0.00649]",7916.0,10,0,2,0,0.0
0,0.516438611,36,0,"(0.00134, 0.00214]",4500.0,7,0,0,0,2.0
0,0.181678332,51,0,"(0.00367, 0.00468]",5000.0,8,1,2,1,0.0
0,0.0,50,1,"(0.000309, 0.00134]",8761.0,12,0,1,0,1.0
0,0.123717891,48,0,"(0.000309, 0.00134]",9300.0,6,0,0,0,0.0
0,0.089465954,75,1,"(0.00134, 0.00214]",7764.0,12,0,1,0,0.0
0,0.8960756459999999,47,4,"(0.00214, 0.00287]",12750.0,19,0,1,0,0.0
0,0.0,26,0,"(0.00468, 0.00649]",820.0,3,0,0,0,0.0
0,0.226033208,38,0,"(0.00134, 0.00214]",3351.0,5,0,0,0,3.0
0,0.08563883,36,0,"(-0.001, 0.000309]",4583.0,7,0,0,0,0.0
0,0.206342656,48,0,"(0.00214, 0.00287]",22000.0,12,0,2,0,3.0
0,0.953488372,63,0,"(0.00287, 0.00367]",9033.0,8,0,2,0,2.0
0,0.221871013,42,0,"(0.00287, 0.00367]",12128.0,16,0,6,0,2.0
0,0.9999999,36,0,"(0.00468, 0.00649]",6910.0,5,0,1,0,0.0
0,0.207037867,35,0,"(0.00649, 0.04]",2416.0,8,0,2,0,2.0
0,0.8030480659999999,66,0,"(0.00649, 0.04]",996.0,6,0,1,0,0.0
0,0.009340758,58,0,"(0.00649, 0.04]",718.0,6,0,1,0,0.0
0,0.001849954,62,0,"(0.000309, 0.00134]",35000.0,15,0,1,0,1.0
0,0.0,22,0,"(-0.001, 0.000309]",929.0,2,0,0,0,0.0
1,0.7206075590000001,46,0,"(0.00649, 0.04]",8816.0,21,0,9,0,2.0
0,0.019166004,71,0,"(0.00214, 0.00287]",8333.0,14,0,2,0,0.0
0,0.037977623,55,0,"(0.00468, 0.00649]",4186.0,12,0,2,0,0.0
0,0.14785214800000002,22,0,"(0.000309, 0.00134]",700.0,3,0,0,0,0.0
0,0.0,53,0,"(0.00287, 0.00367]",6146.0,13,0,2,0,0.0
0,0.9999999,48,2,"(0.00367, 0.00468]",4985.0,3,1,1,1,3.0
